station,latitude,longitude,elevation
DAY,39.9061,-84.2186,305.0
DBN,32.5644,-82.9853,94.0
DBQ,42.3984,-90.7091,329.0
DCA,38.8472,-77.0345,20.0
DCM,34.7893,-81.1958,199.9
DCU,34.6525,-86.9453,177.0
DDH,42.8935,-73.2486,239.55
DEQ,34.047,-94.3994,108.0
DET,42.4092,-83.0099,190.0
DFI,41.3375,-84.4288,219.0
DFW,32.8968,-97.038,182.0
DHN,31.32,-85.45,122.0
DIJ,43.7419,-111.0979,1898.0
DIK,46.7973,-102.8019,789.0
DKB,41.9338,-88.7057,279.0
DLS,45.6186,-121.1673,74.0
DMA,32.166,-110.883,824.0
DMO,38.7074,-93.1759,274.0
DOV,39.1295,-75.466,9.0
DRI,30.83,-93.34,62.0
DRO,37.1515,-107.7538,2038.0
DSM,41.5339,-93.6531,294.0
DSV,42.5709,-77.713,209.0
DTN,32.5402,-93.745,55.0
DTS,30.3934,-86.4674,7.31
DTW,42.23,-83.33,195.0
DUB,43.5484,-109.6903,2210.36
DUJ,41.18,-78.9,554.0
DVK,37.5779,-84.7697,311.5
DVL,48.1146,-98.9083,443.0
DWH,30.068,-95.5562,46.0
DXR,41.37,-73.48,139.0
E11,32.3311,-102.5295,963.14
E38,30.384,-103.684,1376.0
EAU,44.8658,-91.4843,276.0
EBS,42.4392,-93.8691,337.4
ECG,36.2606,-76.1746,4.0
EDJ,40.3723,-83.8192,342.0
EEN,42.9,-72.27,149.0
EEO,40.0488,-107.8859,1957.0
EET,33.18,-86.78,178.0
EGI,30.6503,-86.5229,59.0
EHA,37.0008,-101.88,1099.0
EKO,40.8242,-115.786,1367.0
ELD,33.221,-92.8133,77.0
ELM,42.1571,-76.8994,287.13
ELP,31.8111,-106.3758,1194.0
END,36.3392,-97.9165,398.0
ENL,38.5151,-89.0911,163.0
ENW,42.595,-87.9381,219.0
ERV,29.9767,-99.0855,493.0
ERY,46.3111,-85.4572,265.0
EST,43.4008,-94.7476,401.0
EUG,44.1246,-123.212,114.0
EVV,38.0441,-87.5205,117.0
EWB,41.6764,-70.9583,24.0
EWK,38.0582,-97.2745,467.0
EWN,35.0675,-77.0472,6.0
EWR,40.6827,-74.1693,9.0
EYE,39.825,-86.2958,248.0
F00,33.6131,-96.1793,189.56
F05,34.2257,-99.2837,386.0
F46,32.9306,-96.4355,178.26
FAM,37.761,-90.4286,288.0
FAR,46.9253,-96.8111,274.0
FAT,36.78,-119.7194,100.0
FAY,34.9912,-78.8803,57.0
FCM,44.8261,-93.4607,270.77
FCS,38.6784,-104.7566,1789.0
FDW,34.3155,-81.1088,175.9
FDY,41.0136,-83.6686,247.0
FFC,33.3553,-84.5669,264.0
FFL,41.0521,-91.9834,242.3
FFM,46.2844,-96.1567,361.0
FFO,39.8261,-84.0483,251.0
FFT,38.1847,-84.9033,237.0
FFZ,33.4608,-111.7283,424.0
FHU,31.5883,-110.3442,1438.0
FIG,41.0467,-78.4117,462.0
FKA,43.6767,-92.1797,389.0
FKL,41.3779,-79.8604,469.0
FKN,36.6981,-76.9038,12.0
FLD,43.7712,-88.4884,240.0
FLG,35.1403,-111.6722,2137.0
FLL,26.07,-80.15,7.0
FLO,34.1854,-79.7239,45.0
FLP,36.2909,-92.5902,350.0
FMN,36.7436,-108.2292,1677.0
FMY,26.5849,-81.8615,5.0
FNT,42.9667,-83.7494,233.0
FOK,40.8436,-72.6318,20.0
FPR,27.4981,-80.3767,7.0
FRI,39.0526,-96.7645,324.6
FSD,43.5769,-96.7536,428.94
FSE,47.5928,-95.7735,389.0
FSM,35.3366,-94.3674,141.0
FST,30.9119,-102.9167,917.0
FTK,37.9071,-85.9721,230.0
FTW,32.8198,-97.3624,216.0
FTY,33.78,-84.52,256.0
FUL,33.87,-117.98,29.0
FVE,47.2855,-68.3127,301.0
FWA,40.9781,-85.1871,248.0
FWC,38.3786,-88.4126,133.0
FXY,43.2323,-93.6237,374.6
FYV,36.0051,-94.1701,381.0
GAD,33.9727,-86.0891,173.0
GAI,39.1683,-77.166,164.3
GBD,38.3443,-98.8592,575.0
GBG,40.938,-90.4311,245.0
GCK,37.9275,-100.7244,881.0
GCN,35.9461,-112.1547,2014.0
GDB,44.7533,-95.556,319.0
GDV,47.1387,-104.8072,749.0
GEG,47.6216,-117.528,721.0
GEV,36.43,-81.42,969.0
GEZ,39.5831,-85.8048,245.0
GFK,47.9492,-97.1761,257.0
GHG,42.0982,-70.6721,3.4
GIC,45.9426,-116.1234,1010.0
GIF,28.0629,-81.7533,44.0
GJT,39.1342,-108.54,1475.0
GKJ,41.6265,-80.2147,428.0
GKY,32.6639,-97.0943,192.0
GLR,45.0135,-84.7036,407.0
GLS,29.2653,-94.8604,16.0
GMU,34.8461,-82.3461,319.0
GNA,47.7453,-90.3457,185.0
GNR,45.4622,-69.5953,316.0
GNV,29.6917,-82.276,46.0
GON,41.33,-72.05,3.0
GOP,31.4213,-97.797,276.0
GPM,32.6988,-97.0469,180.0
GPT,30.4073,-89.0701,9.0
GRB,44.4794,-88.1367,206.1
GRD,34.25,-82.16,192.0
GRF,47.08,-122.58,92.0
GRI,40.9675,-98.3096,563.46
GRK,31.07,-97.83,309.0
GRR,42.88,-85.52,237.0
GSO,36.0975,-79.9436,270.0
GSP,34.8847,-82.2239,296.0
GTB,44.0556,-75.7195,207.0
GTF,47.4733,-111.3822,1115.0
GTR,33.4503,-88.5914,80.0
GTU,30.6808,-97.6767,240.0
GUP,35.5111,-108.7893,1972.0
GUS,40.6481,-86.1521,247.0
GVQ,43.0317,-78.1675,275.45
GVT,33.0678,-96.0653,163.0
GWB,41.3072,-85.0644,268.2
GWR,46.2187,-97.6435,385.0
GWW,35.4606,-77.9649,41.0
GYL,44.756,-94.0812,302.0
GZH,31.4158,-87.0441,79.0
HAI,41.9597,-85.5934,251.0
HCD,44.8599,-94.3825,323.0
HDC,30.52,-90.42,13.0
